Aliases,Laboratory,Name,Type,Alcohol Tolerance,Flocculation,Attenuation,Minimum Temp F,Maximum Temp F
Roeselare Ale Blend,Wyeast,3763,Ale,0.11,Variable,80,65,85
Rogue Pacman,Wyeast,1764,Ale,0.12,Med-High,75,60,72
Chico Ale,RVA Yeast Labs,RVA 101,Ale,High,Medium,77.5,67,73
Boston Ale,RVA Yeast Labs,RVA 102,Ale,High,Medium,72.5,65,73
Pacman Ale,RVA Yeast Labs,RVA 103,Ale,High,Medium-High,76,62,72
Hoptopper Ale,RVA Yeast Labs,RVA 104,Ale,High,Medium-Low,77.5,64,76
Chiswick Ale,RVA Yeast Labs,RVA 131,Ale,Medium,Very High,68.5,65,70
Manchester Ale,RVA Yeast Labs,RVA 132,Ale,Medium,High,72.5,65,72
Scotch Ale,RVA Yeast Labs,RVA 141,Ale,High,Medium,72.5,65,70
Dublin Ale,RVA Yeast Labs,RVA 151,Ale,High,Medium-High,72.5,65,70
German Ale I,RVA Yeast Labs,RVA 161,Ale,Medium-High,Medium,73,60,68
Trappist Ale I,RVA Yeast Labs,RVA 201,Ale,High,Medium,77.5,65,72
Trappist Ale II,RVA Yeast Labs,RVA 202,Ale,High,Medium,77.5,65,72
Trappist Ale III,RVA Yeast Labs,RVA 203,Ale,High,Medium,77.5,65,72
Trappist Ale IV,RVA Yeast Labs,RVA 204,Ale,High,Medium,77.5,65,72
Belgian 1833 Ale,RVA Yeast Labs,RVA 221,Ale,Medium,Medium,76.5,67,70
Belgian Gnome Ale,RVA Yeast Labs,RVA 222,Ale,High,High,76.5,67,75
Verboten Ale,RVA Yeast Labs,RVA 241,Ale,High,Low,72.5,65,75
Golden Strong Ale,RVA Yeast Labs,RVA 251,Ale,High,Medium,76.5,68,75
Saison I,RVA Yeast Labs,RVA 261,Ale,Medium,Medium,70,75,85
Saison II,RVA Yeast Labs,RVA 262,Ale,Medium,Medium,78.5,67,77
Ghost Ale,RVA Yeast Labs,RVA 263,Ale,Medium,Medium,80.5,65,80
American Lager,RVA Yeast Labs,RVA 301,Lager,Medium,Medium,77.5,50,55
Munchen Lager,RVA Yeast Labs,RVA 302,Lager,Medium-High,High,77.5,58,65
Oktoberfest Lager,RVA Yeast Labs,RVA 303,Lager,Medium-High,Medium,69,52,58
Czech Lager,RVA Yeast Labs,RVA 304,Lager,Medium,Medium,77.5,50,55
S. arlingtonesis,Bootleg Biology,BB22204,Ale,Medium,Medium,85,60,75
Safale - American Ale Yeast,Fermentis / Safale,US-05,Ale,0.095,Medium,81,54,77
Safale - American Ale Yeast,Fermentis / Safale,US-56,Ale,Medium,Medium,72,59,75
Safale - Belgian Saison Ale Yeast,Fermentis / Safale,BE-134,Ale,,Low,90,64,82
